,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
3992,False,/l2VqHMBEwAYZh6DeAZSlOzAXw7N.jpg,"[35, 18]",933419,en,Champions,A stubborn and hotheaded minor league basketball coach is forced to train a Special Olympics team when he is sentenced to community service.,22.857,/yVgtsoXyTZBww7SWE4JE1U4Wcel.jpg,2023-03-09,Champions,False,6.822,325
3993,False,/5PnypKiSj2efSPqThNjTXz8jwOg.jpg,"[28, 14]",759175,en,The Princess,"A beautiful, strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned, vindictive suitor intent on taking her father’s throne, the princess must protect her family and save the kingdom.",38.818,/9pCoqX24a6rE981fY1O3PmhiwrB.jpg,2022-06-16,The Princess,False,6.821,760
3994,False,/fzvzm3HDEHhnpdiq17pdE7eJ6WJ.jpg,"[18, 37]",440161,en,The Sisters Brothers,"Oregon, 1851. Hermann Kermit Warm, a chemist and aspiring gold prospector, keeps a profitable secret that the Commodore wants to know, so he sends the Sisters brothers, two notorious assassins, to capture him on his way to California.",16.18,/l02EwhJiAZjcETJaLgnAF5e74YQ.jpg,2018-09-19,The Sisters Brothers,False,6.821,1868
3995,False,/m4JzTSFDqWnvLkjTKIm4kyDXbTO.jpg,"[12, 18, 36]",253412,en,Everest,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",24.937,/4xmndWnTYTE4bDdlWrkZyaGcZlo.jpg,2015-09-10,Everest,False,6.8,4765
3996,False,/lqASDYSyYMgC1gYY7VHqK9Tnv0I.jpg,[18],9563,en,Any Given Sunday,A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the ageing coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove herself in a male dominated world.,26.331,/bysZeUvSPZPJnku4qkHF34CdgMG.jpg,1999-12-22,Any Given Sunday,False,6.8,1583
3997,False,/zToS5vE5ho2rYNN7AFXOdf3YuMg.jpg,"[18, 36, 10752]",8881,en,Che: Part One,"The Argentine, begins as Che and a band of Cuban exiles (led by Fidel Castro) reach the Cuban shore from Mexico in 1956. Within two years, they mobilized popular support and an army and toppled the U.S.-friendly regime of dictator Fulgencio Batista.",19.316,/2VvYA5fgnvjAz11dCNWS68uL2CU.jpg,2008-09-05,Che: Part One,False,6.821,716
3998,False,/pvVkWJZYsUoCgnvpkd62pgnet7r.jpg,"[14, 28, 53]",277,en,Underworld,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",51.952,/zsnQ41UZ3jo1wEeemF0eA9cAIU0.jpg,2003-09-19,Underworld,False,6.8,5970
3999,False,/rRcNmiH55Tz0ugUsDUGmj8Bsa4V.jpg,"[35, 10749]",884605,en,No Hard Feelings,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",70.354,/4K7gQjD19CDEPd7A9KZwr2D9Nco.jpg,2023-06-15,No Hard Feelings,False,6.82,2752
4000,False,/hsAZKgLMhReTakzdBxCAJsTinea.jpg,"[10749, 18, 36]",606566,it,Gli anni più belli,"Italy from the '80s to the present day, through the dreams, loves, successes and failures of four friends.",17.672,/FYekXUC4QMYIBc06JiBHS5Zpbp.jpg,2020-02-13,The Best Years,False,6.82,402
4001,False,/m0ppE0yXQeFWzlwLdDUFRfanp9R.jpg,"[18, 10402, 36]",592863,en,Respect,The rise of Aretha Franklin’s career from a child singing in her father’s church’s choir to her international superstardom.,17.674,/iUtPwOBZJc8uJnDqlCXTibdgxKz.jpg,2021-08-12,Respect,False,6.82,395
4002,False,/qAzYK4YPSWDc7aa4R43LcwRIAyb.jpg,"[28, 12, 878]",299537,en,Captain Marvel,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",166.012,/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,2019-03-06,Captain Marvel,False,6.82,15385
